experiment,cb,ab,db,totalflow,n,stdev,seed,dist,lb,ub
545,1,1,1,500,7,0.1,67592,normal,0,250
546,1,1,1,500,8,0.1,25243,normal,0,250
547,1,1,1,500,9,0.1,29239,normal,0,250
548,1,1,1,500,10,0.1,32392,normal,0,250
549,1,1,1,500,1,0.2,397,normal,0,250
550,1,1,1,500,2,0.2,64900,normal,0,250
551,1,1,1,500,3,0.2,64561,normal,0,250
552,1,1,1,500,4,0.2,46031,normal,0,250
553,1,1,1,500,5,0.2,21239,normal,0,250
554,1,1,1,500,6,0.2,64005,normal,0,250
555,1,1,1,500,7,0.2,36495,normal,0,250
556,1,1,1,500,8,0.2,59964,normal,0,250
557,1,1,1,500,9,0.2,64317,normal,0,250
558,1,1,1,500,10,0.2,96022,normal,0,250
559,1,1,1,500,1,0.3,44850,normal,0,250
560,1,1,1,500,2,0.3,60195,normal,0,250
561,1,1,1,500,3,0.3,86257,normal,0,250
562,1,1,1,500,4,0.3,96254,normal,0,250
563,1,1,1,500,5,0.3,55571,normal,0,250
564,1,1,1,500,6,0.3,65099,normal,0,250
565,1,1,1,500,7,0.3,2097,normal,0,250
566,1,1,1,500,8,0.3,76138,normal,0,250
567,1,1,1,500,9,0.3,81072,normal,0,250
568,1,1,1,500,10,0.3,39246,normal,0,250
569,1,1,1,500,1,0.4,49441,normal,0,250
570,1,1,1,500,2,0.4,72887,normal,0,250
571,1,1,1,500,3,0.4,78614,normal,0,250
572,1,1,1,500,4,0.4,43351,normal,0,250
573,1,1,1,500,5,0.4,96615,normal,0,250
574,1,1,1,500,6,0.4,37683,normal,0,250
575,1,1,1,500,7,0.4,37207,normal,0,250
576,1,1,1,500,8,0.4,92726,normal,0,250
577,1,1,1,500,9,0.4,24236,normal,0,250
578,1,1,1,500,10,0.4,31159,normal,0,250
579,1,1,1,500,1,0.5,78317,normal,0,250
580,1,1,1,500,2,0.5,95041,normal,0,250
581,1,1,1,500,3,0.5,16424,normal,0,250
582,1,1,1,500,4,0.5,86355,normal,0,250
583,1,1,1,500,5,0.5,85346,normal,0,250
584,1,1,1,500,6,0.5,60359,normal,0,250
585,1,1,1,500,7,0.5,66293,normal,0,250
586,1,1,1,500,8,0.5,45484,normal,0,250
587,1,1,1,500,9,0.5,2255,normal,0,250
588,1,1,1,500,10,0.5,15285,normal,0,250
589,1,1,1,500,1,0.6,27119,normal,0,250
590,1,1,1,500,2,0.6,42796,normal,0,250
591,1,1,1,500,3,0.6,34420,normal,0,250
592,1,1,1,500,4,0.6,79967,normal,0,250
593,1,1,1,500,5,0.6,46182,normal,0,250
594,1,1,1,500,6,0.6,55219,normal,0,250
595,1,1,1,500,7,0.6,97014,normal,0,250
596,1,1,1,500,8,0.6,46139,normal,0,250
597,1,1,1,500,9,0.6,12440,normal,0,250
598,1,1,1,500,10,0.6,48778,normal,0,250
599,1,1,1,500,1,0.7,63404,normal,0,250
600,1,1,1,500,2,0.7,85229,normal,0,250
601,1,1,1,500,3,0.7,66323,normal,0,250
602,1,1,1,500,4,0.7,87153,normal,0,250
603,1,1,1,500,5,0.7,9472,normal,0,250
604,1,1,1,500,6,0.7,62184,normal,0,250
605,1,1,1,500,7,0.7,41157,normal,0,250
606,1,1,1,500,8,0.7,82835,normal,0,250
607,1,1,1,500,9,0.7,99633,normal,0,250
608,1,1,1,500,10,0.7,38150,normal,0,250
609,1,1,1,500,1,0.8,39051,normal,0,250
610,1,1,1,500,2,0.8,31208,normal,0,250
611,1,1,1,500,3,0.8,10585,normal,0,250
612,1,1,1,500,4,0.8,13520,normal,0,250
613,1,1,1,500,5,0.8,43645,normal,0,250
614,1,1,1,500,6,0.8,56817,normal,0,250
615,1,1,1,500,7,0.8,2884,normal,0,250
616,1,1,1,500,8,0.8,38181,normal,0,250
617,1,1,1,500,9,0.8,22802,normal,0,250
618,1,1,1,500,10,0.8,93468,normal,0,250
619,1,1,1,500,1,0.9,86596,normal,0,250
620,1,1,1,500,2,0.9,65338,normal,0,250
621,1,1,1,500,3,0.9,23241,normal,0,250
622,1,1,1,500,4,0.9,36286,normal,0,250
623,1,1,1,500,5,0.9,64147,normal,0,250
624,1,1,1,500,6,0.9,50578,normal,0,250
625,1,1,1,500,7,0.9,52289,normal,0,250
626,1,1,1,500,8,0.9,4576,normal,0,250
627,1,1,1,500,9,0.9,78382,normal,0,250
628,1,1,1,500,10,0.9,88758,normal,0,250
629,1,1,1,500,1,1,71819,normal,0,250
630,1,1,1,500,2,1,96506,normal,0,250
631,1,1,1,500,3,1,78346,normal,0,250
632,1,1,1,500,4,1,11694,normal,0,250
633,1,1,1,500,5,1,64793,normal,0,250
634,1,1,1,500,6,1,75935,normal,0,250
635,1,1,1,500,7,1,25676,normal,0,250
636,1,1,1,500,8,1,40550,normal,0,250
637,1,1,1,500,9,1,71072,normal,0,250
638,1,1,1,500,10,1,34658,normal,0,250
